name,symbol,price,price_BNB,token_address,pancake_swap_time
Wrapped BNB,WBNB,371.4816662,1,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,2022-02-04 3:14:06
BUSD Token,BUSD,0.9999831584,0.002691877552,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,2022-02-04 3:14:06
Tether USD,USDT,1.000031135,0.002692002463,0x55d398326f99059fF775485246999027B3197955,2022-02-04 3:14:06
PancakeSwap Token,Cake,7.251613013,0.01952078305,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,2022-02-04 3:14:06
USD Coin,USDC,0.9988524307,0.002688830465,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,2022-02-04 3:14:06
Mobox,MBOX,2.66213303,0.007166672499,0x3203c9E46cA618C8C1cE5dC67e7e9D75f5da2377,2022-02-04 3:14:06
Ethereum Token,ETH,2693.04379,7.249466219,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,2022-02-04 3:14:06
BTCB Token,BTCB,37334.17357,100.501552,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,2022-02-04 3:14:06
TrueUSD,TUSD,1.002214463,0.002697958967,0x14016E85a25aeb13065688cAFB43044C2ef86784,2022-02-04 3:14:06
Baby Doge Coin,BabyDoge,0.000000003962438072,0,0xc748673057861a797275CD8A068AbB95A902e8de,2022-02-04 3:14:06
Metahero,HERO,0.04593800639,0.0001236663299,0xD40bEDb44C081D2935eebA6eF5a3c8A31A1bBE13,2022-02-04 3:14:06
DRIP Token,DRIP,134.5916329,0.3623225911,0x20f663CEa80FaCE82ACDFA3aAE6862d246cE0333,2022-02-04 3:14:06
FileSystemVideo,FSV,36.92795968,0.09940901106,0xE9c7a827a4bA133b338b844C19241c864E95d75f,2022-02-04 3:14:06
SafeMoon,SAFEMOON,0.000000485667345,0.000000001310461999,0x8076C74C5e3F5852037F31Ff0093Eeb8c8ADd8D3,2022-02-04 3:14:06
DOGS,DOGS,111.1406478,0.299193332,0xDBdC73B95cC0D5e7E99dC95523045Fc8d075Fb9e,2022-02-04 3:14:06
SeedifyFund,SFUND,5.860632686,0.01577749818,0x477bC8d23c634C154061869478bce96BE6045D12,2022-02-04 3:14:06
QJI Token,QJI,1867.833578,5.034084039,0x4C2200082Ad960f03BF105971E5D85bb835ddB83,2022-02-04 3:14:06
Position Token,POSI,1.549116462,0.004170610585,0x5CA42204cDaa70d5c773946e69dE942b85CA6706,2022-02-04 3:14:06
Polkadot Token,DOT,18.88544012,0.05083979863,0x7083609fCE4d1d8Dc0C979AAb8c869Ea2C873402,2022-02-04 3:14:06
Dai Token,DAI,0.9985490288,0.002688312854,0x1AF3F329e8BE154074D8769D1FFa4eE058B1DBc3,2022-02-04 3:14:06
BitTorrent,BTT,0.002205117412,0.00000593892198,0x8595F9dA7b868b1822194fAEd312235E43007b49,2022-02-04 3:14:06
Wrapped UST Token,UST,1.0024466,0.002698607459,0x23396cF899Ca06c4472205fC903bDB4de249D6fC,2022-02-04 3:14:06
Meblox Protocol,MEB,0.148360731,0.0004004391284,0x7268B479eb7CE8D1B37Ef1FFc3b82d7383A1162d,2022-02-04 3:14:06
TRON,TRX,0.060418239,0.0001626518056,0x85EAC5Ac2F758618dFa09bDbe0cf174e7d574D5B,2022-02-04 3:14:06
YOOSHI,YOOSHI,0.0000004576809089,0.000000001232464039,0x02fF5065692783374947393723dbA9599e59F591,2022-02-04 3:14:06
EverGrow Coin,EGC,0.0000005823969394,0.000000001567847001,0xC001BBe2B87079294C63EcE98BdD0a88D761434e,2022-02-04 3:14:06
SafePal Token,SFP,0.813046223,0.002190181761,0xD41FDb03Ba84762dD66a0af1a6C8540FF1ba5dfb,2022-02-04 3:14:06
BinaryX,BNX,25.60125859,0.06891922253,0x8C851d1a123Ff703BD1f9dabe631b69902Df5f97,2022-02-04 3:14:06
CBET,CBET,0.0000002043518983,0.0000000005500648615,0xc212D39E35F22F259457bE79Fc2D822FA7122e6e,2022-02-04 3:14:06
Cardano Token,ADA,1.052984066,0.002834647678,0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47,2022-02-04 3:14:06
ChainLink Token,LINK,16.07772532,0.04328075537,0xF8A0BF9cF54Bb92F17374d9e9A321E6a111a51bD,2022-02-04 3:14:06
Radio Caca V2,RACA,0.001986899841,0.000005348625632,0x12BB890508c125661E03b09EC06E404bc9289040,2022-02-04 3:14:06
BELT Token,BELT,1.345957088,0.00362774974,0xE0e514c71282b6f4e823703a39374Cf58dc3eA4f,2022-02-04 3:14:06
Elephant Money,ELEPHANT,0.0000000330251447,0,0xE283D0e3B8c102BAdF5E8166B73E02D96d92F688,2022-02-04 3:14:06
AlpacaToken,ALPACA,0.3512314813,0.0009456293857,0x8F0528cE5eF7B51152A59745bEfDD91D97091d2F,2022-02-04 3:14:06
TrusterCoin,TSC,0.01441534981,0.00003881018865,0xA2a26349448ddAfAe34949a6Cc2cEcF78c0497aC,2022-02-04 3:14:06
PIGS,PIGS,446.9546189,1.203212143,0x3A4C15F96B3b058ab3Fb5FAf1440Cc19E7AE07ce,2022-02-04 3:14:06
VAI Stablecoin,VAI,0.9325411243,0.00251281682,0x4BD17003473389A42DAF6a0a729f6Fdb328BbBd7,2022-02-04 3:14:06
WINk,WIN,0.0003065418367,0.0000008252876142,0xaeF0d72a118ce24feE3cD1d43d383897D05B4e99,2022-02-04 3:14:06
PORNROCKET,PORNROCKET,0.00000005501095936,0.0000000001481776373,0xCF9f991b14620f5ad144Eec11f9bc7Bf08987622,2022-02-04 3:14:06
XRP Token,XRP,0.6120834701,0.001647739158,0x1D2F0da169ceB9fC7B3144628dB156f3F6c60dBE,2022-02-04 3:14:06
Uniswap,UNI,10.41159558,0.02805253464,0xBf5140A22578168FD562DCcF235E5D43A02ce9B1,2022-02-04 3:14:06
JADE,JADE,21.38476899,0.05757774382,0x7ad7242A99F21aa543F9650A56D141C57e4F6081,2022-02-04 3:14:06
lizardtoken.finance,LIZ,5.280534407,0.01421528712,0xfCb520B47f5601031E0Eb316F553A3641FF4B13C,2022-02-04 3:14:06
CatGirl,CATGIRL,0.0000000018463613,0,0x79eBC9A2ce02277A4b5b3A768b1C0A4ed75Bd936,2022-02-04 3:14:06
ALICE,ALICE,6.69941804,0.01805645122,0xAC51066d7bEC65Dc4589368da368b212745d63E8,2022-02-04 3:14:06
Dogecoin,DOGE,0.1387851258,0.0003736019631,0xbA2aE424d960c26247Dd6c32edC70B295c744C43,2022-02-04 3:14:06
Lizard Buring,LIB,153.754463,0.4138985997,0xd91EFaae19836F13e2035543576c363d6ed06239,2022-02-04 3:14:06
CateCoin,CATE,0.00000164735264,0.000000004437757989,0xE4FAE3Faa8300810C835970b9187c268f55D998F,2022-02-04 3:14:06
APENFT,NFT,0.000002004917167,0.000000005397315424,0x1fC9004eC7E5722891f5f38baE7678efCB11d34D,2022-02-04 3:14:06
CluCoin,CLU,0.00000001339964661,0,0x1162E2EfCE13f99Ed259fFc24d99108aAA0ce935,2022-02-04 3:14:06
Synthetic BNB,SBNB,370.7112836,0.9987212647,0xE90444C38a8Cd2DCEEe9D954042ac817a794E9A9,2022-02-04 3:14:06
CTOMORROW PLATFORM,CTP,0.8780864634,0.002367061175,0xb850CAC12Ab85d4400db61ac78DC5Fc2418b6868,2022-02-04 3:14:06
SaveYourAssets,SYA,0.00000005218330672,0.0000000001404953929,0x83A86adf1a7c56e77d36d585B808052e0a2aAD0e,2022-02-04 3:14:06
SharkShakeSea,SEA,0.8999181974,0.002423008181,0x26193C7fa4354AE49eC53eA2cEBC513dc39A10aa,2022-02-04 3:14:06
Distributed computing coin,DCC,0.5494017834,0.001479154129,0x98779fAc3D808bbe07e137322454980804745BEF,2022-02-04 3:14:06
Titano,TITANO,0.09960221502,0.0002681541785,0xBA96731324dE188ebC1eD87ca74544dDEbC07D7f,2022-02-04 3:14:06
bomb.money,BOMB,3.425232417,0.009220698044,0x522348779DCb2911539e76A1042aA922F9C47Ee3,2022-02-04 3:14:06
